uri,type,topConceptOf,inScheme,prefLabel,notation,definition,variabele,drager,Parameter Drager Omschrijving,waardebepaling,Parameter Soort Waardebepaling Omschrijving,Parameter Soort Waardebepaling Type Code,Parameter Soort Waardebepaling Type Omschrijving
conceptscheme:parameter,skos:ConceptScheme,,,conceptschema parameter,,,,,,,,,
conceptscheme:waardebepaling,skos:ConceptScheme,,,conceptschema waardebepaling,,,,,,,,,
conceptscheme:drager,skos:ConceptScheme,,,conceptschema drager,,,,,,,,,
P_894,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Benzo(a)anthraceen,B(a)A,Benzo(a)anthraceen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/DXBHBZVCASKNBY-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_941,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,4,4'-Trichloorbifenyl (PCB28)",PCB 28,"2,4,4'-Trichloorbifenyl (PCB28)",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BZTYNSQSZHARAZ-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_811,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Trichloormethaan,TCMa,Trichloormethaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/HEDRZPFGACZZDS-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1306,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Polybroomdifenylether,BDE,Polybroomdifenylether,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/bde,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_1016,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Uranium,U t,"Uranium, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/JFALSRSLKYAFGM-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_2052,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,= PFOStotaal - PFOS,PFOS vertakt,= PFOStotaal - PFOS,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YFSUTJLHUFNCNZ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1234,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Simazine,Simaz,Simazine,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ODCWYMIRDDJXKW-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_807,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Trichlooretheen,TCEe,Trichlooretheen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XSTXAVWGXDQKEL-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_589,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Atrazine,Atraz,Atrazine,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/MXWJVTOOROXGIU-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_441,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Kwik,Hg t,"Kwik, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/QSHDDOUJBYECFT-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_3,totaal,,
P_2,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,alfa+beta+gamma+delta Hexachloorcyclohexaan,a+b+d+gHCHS,alfa+beta+gamma+delta Hexachloorcyclohexaan,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/JLYXXMFPNIAWKQ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_141,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,4,4'-Trichloorbifenyl (PCB28)",PCB 28 o,"2,4,4'-Trichloorbifenyl (PCB28), opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BZTYNSQSZHARAZ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_905,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chryseen,Chr,Chryseen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WDECIBYCCFPHNR-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_914,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Naftaleen,Naft,Naftaleen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UFWIBTONFRDIAS-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_608,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chemisch zuurstofverbruik,CZV,Chemisch zuurstofverbruik,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0040,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1855,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Koper,Cu mt,"Koper, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/RYGMFSIKBFXOCR-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_416,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Beryllium,Be o,"Beryllium, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ATBAMAFKBVZNFJ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_1859,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Ijzer,Fe mt,"Ijzer, multi totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XEEYBQQBJWHFJM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_7,multi totaal,,
P_1004,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Acenaftyleen,Acenaftyl,Acenaftyleen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/HXGDTGSAIMULJN-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_9,standaard per droge stof,DS,per droge stof
P_314,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Cyaniden,CN- t,"Cyaniden, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/XFXPMWWXUTWYJX-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
P_429,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Chroom,Cr o,"Chroom, opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/VYZAMTAEIAYCRO-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_140,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"2,2',3,4,4',5,5'-Heptachloorbifenyl (PCB180)",PCB 180 o,"2,2',3,4,4',5,5'-Heptachloorbifenyl (PCB180), opgelost",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WBHQEUPUMONIKF-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_2,opgelost,,
P_893,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Benzo(a)anthraceen,B(a)A,Benzo(a)anthraceen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/DXBHBZVCASKNBY-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_542,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Hexachloorbenzeen,HCBz,Hexachloorbenzeen,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CKAPSXZOOQJIBF-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_1017,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Uranium,U t,"Uranium, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/JFALSRSLKYAFGM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_3,totaal,,
P_1249,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,bis-(2-ethylhexyl)-ftalaat,b2EyHyFt,bis-(2-ethylhexyl)-ftalaat,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BJQHLKABXJIVAM-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_819,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Azinfos-methyl,AzinfosMy,Azinfos-methyl,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CJJOSEISRRTUQB-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_571,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,Pentachloorfenol,PCFol,Pentachloorfenol,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/IZUPBVBPLAPZRR-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_781,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,4-Chloorfenol,4CFol,4-Chloorfenol,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/WXNZTHHGJRFXKQ-UHFFFAOYSA-N,dr:DR_1,Waterstaal,wb:SWB_1,standaard,,
P_2010,par:Parameter,conceptscheme:parameter,conceptscheme:parameter,"Chroom, zeswaardig",Cr6+ t,"Chroom, zeswaardig, totaal",https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/JOPOVCBBYLSVDA-UHFFFAOYSA-N,dr:DR_2,Waterbodem,wb:SWB_4,totaal per droge stof,DS,per droge stof
